,stripped_bnf_code,quantity
0,,
1,0101,196719300.0
2,0102,35279207.0
3,0103,216953719.0
4,0104,13066562.0
5,0105,27497384.0
6,0106,237343321.0
7,0107,3606925.0
8,0108,35018.0
9,0109,13657259.0
10,0201,7259266.0
11,0202,99923796.0
12,0203,4535296.0
13,0204,123060644.0
14,0205,233222312.0
15,0206,156388199.0
16,0207,393679.0
17,0208,67691430.0
18,0209,96889608.0
19,0211,2433379.0
20,0212,209410148.0
21,0213,4.0
22,0301,25536577.0
23,0302,2367235.0
24,0303,7268713.0
25,0304,61593010.0
26,0307,29068808.0
27,0308,77800.0
28,0309,11582260.0
29,0310,885176.0
30,0401,38932891.0
31,0402,37066973.0
32,0403,221354852.0
33,0404,4936986.0
34,0405,3371833.0
35,0406,36904088.0
36,0407,645325505.0
37,0408,195779808.0
38,0409,29174924.0
39,0410,97346031.0
40,0411,7357658.0
41,0501,135341710.0
42,0502,5778719.0
43,0503,4033375.0
44,0504,8586855.0
45,0505,290628.0
46,0601,306866818.0
47,0602,106540549.0
48,0603,36847735.0
49,0604,27437031.0
50,0605,1243471.0
51,0606,3342894.0
52,0607,195056.0
53,0702,5150793.0
54,0703,65985381.0
55,0704,49607963.0
56,0801,730369.0
57,0802,8427775.0
58,0803,7369215.0
59,0901,72895787.0
60,0902,7821993.0
61,0903,1.0
62,0904,2160226518.0
63,0905,7067734.0
64,0906,132277112.0
65,0907,300.0
66,0908,242448.0
67,0909,59578555.0
68,0910,1429757.0
69,0911,418352.0
70,0912,303414.0
71,1001,101331698.0
72,1002,21813037.0
73,1003,73948616.0
74,1103,1688895.0
75,1104,2686104.0
76,1105,100410.0
77,1106,8337392.0
78,1107,1257.0
79,1108,10657931.0
80,1201,503016.0
81,1202,3150711.0
82,1203,18206376.0
83,1301,5240726.0
84,1302,551933995.0
85,1303,6321186.0
86,1304,58183332.0
87,1305,12260838.0
88,1306,8179316.0
89,1307,269556.0
90,1308,2536086.0
91,1309,28708194.0
92,1310,10912556.0
93,1311,9373973.0
94,1312,380145.0
95,1313,19436.0
96,1314,624706.0
97,1315,34693.0
98,1404,435449.0
99,1405,9.0
100,1501,257401.0
101,1502,2001200.0
